"","average_distances"
"142",181.292521050637
"143",128.799157198614
"144",114.826587634879
"145",103.871872886605
"146",150.982776727901
"147",131.846549728249
"148",130.052143702835
"149",99.8646706443687
"150",110.100355795074
"151",124.648252819375
"152",123.282845845066
"153",117.296253003466
"154",126.280829761122
"155",121.673745993587
"156",116.947271650313
"157",141.653157254475
"158",151.692225321943
"159",169.684748808446
"160",194.986157275354
"161",187.395032313312
"162",187.937682052321
"163",220.206590939923
"164",217.080738564263
"165",245.491981692721
"166",247.151552250373
"167",243.758587067279
"168",237.122824771111
"169",217.963514586096
"170",223.750031063785
"171",209.854631996588
"172",196.75367103984
"173",213.984813629741
"174",193.173816335826
"175",146.92608562211
"176",156.024814488163
"177",181.847478494962
"178",181.847478494962
"179",165.693655531416
"180",170.438320012772
"181",173.831488812413
"182",156.109158213733
"183",156.109158213733
"184",173.148365694325
"185",201.054146312895
"186",206.092658788085
"187",200.750778880275
"188",188.788990745147
"189",188.963196316354
"190",211.675686573922
"191",188.382645956336
"192",194.188754768602
"193",203.932475728708
"194",201.261090498248
"195",179.944667896542
"196",168.728792395313
"197",170.542040467176
"198",163.453027890944
"199",167.009657026396
"200",150.9157879961
"201",162.641596645252
"202",199.977157358255
"203",219.464194355351
"204",205.717138180143
"205",212.405850316441
"206",196.851120600208
"207",169.448347475825
"208",176.253792737439
"209",166.361836345864
"210",181.065643831355
"211",195.354417588691
"212",205.213502931747
"213",222.98568791472
"214",232.471146707739
"215",274.516494406959
"216",271.086132937278
"217",285.975743879108
"218",286.325258624407
"219",321.009331638038
"220",325.824284516935
"221",318.802898365507
"222",305.641313934809
"223",305.641313934809
"224",310.072933570179
"225",283.88768057495
"226",280.612896259452
"227",275.391910607625
"228",270.270932786812
"229",283.067878163246
"230",268.573169981295
"231",276.68014265841
"232",302.223712400297
"233",311.194220128573
"234",314.602246337476
"235",312.985012958953
"236",286.855079311687
"237",273.673068303922
"238",261.72047846416
"239",285.828823042362
"240",280.63824399771
"241",262.828723118231
"242",265.361343563844
"243",236.91121325922
"244",226.640739220105
"245",226.826905474437
"246",198.347198902948
"247",187.468259924741
"248",175.468374252082
"249",185.643968751213
"250",229.433880776691
"251",244.37280776662
"252",243.670919002136
"253",243.670919002136
"254",242.298694376872
"255",232.708854677518
"256",241.997975035446
"257",235.808405321873
"258",249.775838849781
"259",250.314845728127
"260",210.990916960877
"261",210.990916960877
"262",214.954415361142
"263",222.976418663029
"264",225.031284039927
"265",204.813424710044
"266",199.059729248129
"267",198.667250219089
"268",189.828637470223
"269",176.052526126393
"270",188.558777336993
"271",176.682500703318
"272",207.706724786704
"273",220.096217025145
"274",194.499822966919
"275",181.517809957932
"276",251.384162584878
"277",226.373623502495
"278",215.964269749592
"279",218.128903540443
"280",219.02490533213
"281",199.996523188427
"282",174.061238670789
"283",195.348222086745
"284",197.736908445599
"285",236.000853481147
"286",299.48595338758
"287",274.88045354133
"288",274.88045354133
"289",274.88045354133
"290",274.88045354133
"291",285.52865515642
"292",275.725694340964
"293",217.11940681491
"294",167.46000779592
"295",189.971003670768
"296",254.290193137765
"297",233.228735502807
"298",186.998046113723
"299",246.32135983857
"300",267.085112645121
"301",275.248942293186
"302",275.248942293186
"303",278.445727427702
"304",306.121245119918
"305",317.243396413364
"306",305.164163140978
"307",286.685265937808
"308",244.997384555099
"309",237.415544529275
"310",267.9067210988
"311",255.737481445159
"312",254.677732150697
"313",250.944563341149
"314",280.755222514932
"315",242.328054235585
"316",258.738746881394
"317",258.738746881394
"318",263.481864300921
"319",266.12684132365
"320",264.120290352364
"321",269.967107382324
"322",232.006368819636
"323",232.405936981341
"324",232.435489533267
"325",219.317498045908
"326",199.242372203801
"327",200.203882176641
"328",197.812132395948
"329",187.815714043421
"330",188.339539111324
"331",194.143073882217
"332",194.481537074479
"333",221.480350216448
"334",245.822546513315
"335",230.785113248111
"336",243.193491057426
"337",219.856960917097
"338",212.85847164831
"339",195.44135570467
"340",199.756133649576
"341",199.756133649576
"342",189.44313915446
"343",191.451453707564
"344",193.343773099275
"345",198.092104997741
"346",237.318012605604
"347",227.115748459758
"348",228.135551798143
"349",217.833199794175
"350",210.64615228764
"351",188.732137367745
"352",188.732137367745
"353",155.183923619066
"354",198.780408721555
"355",207.528432681067
"356",221.291998447171
"357",231.674290519591
"358",233.926662846408
"359",236.784315085856
"360",248.824734285092
"361",204.115456835273
"362",204.115456835273
"363",195.610105758725
"364",163.257245355831
"365",204.020249534983
"366",225.107199869954
"367",242.982581021306
"368",220.112752718017
"369",230.963199734464
"370",200.048798024984
"371",215.675948022595
"372",227.773679011965
"373",209.422209110661
"374",223.84531736457
"375",227.52834902426
"376",217.955841691169
"377",198.108626464445
"378",191.489809876298
"379",221.000741282065
"380",213.738960727751
"381",210.019783363418
"382",200.756534289123
"383",194.680733123216
"384",197.440623068479
"385",187.650946702012
"386",172.045311189767
"387",163.797056773491
"388",179.477724711805
"389",187.653066549991
"390",180.651218520104
"391",169.450406732285
"392",156.644177764374
"393",179.389237177286
"394",170.249726163141
"395",167.299859775354
"396",150.028497918863
"397",131.638613132534
"398",114.796301875903
"399",113.48357115728
"400",130.599398387747
"401",115.793771051288
"402",94.8803312438564
"403",92.816708861634
"404",78.0855805089183
"405",98.6881077931546
"406",88.7329304638545
"407",87.5358958896939
"408",75.146933037802
"409",82.2832553766293
"410",86.2558333390909
"411",75.5521696754804
"412",87.9790652364186
"413",90.3744698765971
"414",84.4866450932516
"415",107.188637533341
"416",84.8603185829383
"417",98.6145958416897
"418",120.937918691963
"419",125.299625835681
"420",129.013726223512
"421",112.808152410893
"422",141.882685494379
"423",142.522197615235
"424",134.895628975703
"425",125.644097751954
"426",121.549717647143
"427",121.768858934136
"428",151.863282441231
"429",139.251018570039
"430",166.261551467683
"431",171.942414827647
"432",164.276074258732
"433",170.262753715964
"434",174.733319062931
"435",167.861020306673
"436",167.861020306673
"437",161.904497719178
"438",165.621888931578
"439",163.206031203056
"440",164.051943518743
"441",170.412417578131
"442",163.432282759727
"443",156.078278419982
"444",156.078278419982
"445",144.580300786088
"446",158.086564941323
"447",153.308349897156
"448",143.648504735541
"449",156.023590838297
"450",149.412549881096
"451",158.05349676759
"452",160.020136318473
"453",160.020136318473
"454",151.77877327886
"455",136.619212478494
"456",147.030307944669
"457",155.1725686846
"458",152.466770206905
"459",149.932304312606
"460",168.699400336546
"461",164.795628781898
"462",158.097484391822
"463",149.049262520405
"464",143.800195663271
"465",142.576953737295
"466",136.091358471751
"467",133.039125041753
"468",144.167507005595
