"","average_distances"
"1",233.503012058932
"2",233.44139873692
"3",218.689880629145
"4",231.927689377166
"5",228.835442837139
"6",242.012384714168
"7",242.012384714168
"8",236.325617595293
"9",236.325617595293
"10",236.28213929497
"11",253.294303057985
"12",253.294303057985
"13",253.294303057985
"14",253.294303057985
"15",253.294303057985
"16",253.294303057985
"17",253.294303057985
"18",264.457635928642
"19",254.083847677297
"20",224.108988101071
"21",216.983621824394
"22",231.522256708434
"23",231.522256708434
"24",171.426378019025
"25",180.309291527938
"26",172.648900182734
"27",172.648900182734
"28",204.05363030293
"29",204.233531310753
"30",204.233531310753
"31",175.387196313392
"32",167.391449464668
"33",226.264262715328
"34",217.008576068032
"35",217.008576068032
"36",217.008576068032
"37",199.105437432376
"38",218.640535101851
"39",218.640535101851
"40",199.067730265256
"41",232.979547717343
"42",243.344680958998
"43",251.429917444278
"44",153.345348935369
"45",159.101056036139
"46",168.238659712993
"47",151.793107454092
"48",149.289213798918
"49",149.289213798918
"50",145.048418396069
"51",145.31094955121
"52",120.460050775367
"53",129.681659651425
"54",141.661182846431
"55",131.580961391296
"56",131.580961391296
"57",95.2712437818318
"58",82.0460079006124
"59",82.6150800694241
"60",103.305823000856
"61",90.5539853902742
"62",77.0656408921035
"63",75.910595298538
"64",82.7065931619837
"65",81.5592562811851
"66",82.3921942599755
"67",82.3921942599755
"68",84.2714778915804
"69",68.5276489321397
"70",71.3897050402481
"71",60.1335730767435
"72",61.7914352402134
"73",85.0991320167762
"74",85.0991320167762
"75",93.9197136493516
"76",74.2391880662033
"77",89.9871980025873
"78",94.1971157604493
"79",96.9577001306029
"80",96.9577001306029
"81",107.890220027986
"82",102.946489065245
"83",96.5955368381162
"84",94.1662799863418
"85",80.9308133349746
"86",61.7184739896453
"87",40.9558623852001
"88",104.093320329265
"89",141.852603062086
"90",179.729424936735
"91",192.610216607819
"92",270.23291803919
"93",178.181625937802
"94",321.589736616461
"95",386.509373704512
"96",313.612713764773
"97",375.621848083168
"98",392.552885289437
"99",434.08583724236
"100",434.08583724236
"101",379.184733661474
"102",401.660883461774
"103",439.624700253397
"104",439.624700253397
"105",388.505318869889
"106",346.876233676644
"107",308.685794119258
