"","average_distances"
"216",327.559137351725
"217",333.161799571792
"218",344.481476778463
"219",329.379952492882
"220",318.443517280293
"221",320.369827937063
"222",328.232237311575
"223",360.808640345836
"224",311.724213211865
"225",281.634202004548
"226",312.466009728643
"227",259.448841329432
"228",243.299223993634
"229",227.215431680022
"230",185.385218868354
"231",216.045720039089
"232",282.477252809005
"233",253.706386171042
"234",248.429912296202
"235",248.429912296202
"236",223.153629316724
"237",229.891223867486
"238",197.185245989357
"239",207.977693431682
"240",173.60550650477
"241",204.361332504422
"242",214.820753247963
"243",214.820753247963
"244",197.731442926939
"245",197.731442926939
"246",182.538211531286
"247",186.336993485459
"248",186.336993485459
"249",202.192789193318
"250",176.592216221387
"251",155.682914965036
"252",161.30625528077
"253",182.913939200786
"254",208.20775201182
"255",212.599065597778
"256",194.288272351389
"257",187.610267851206
"258",173.53000189645
"259",183.501433037348
"260",190.369068367918
"261",180.421057222396
"262",181.647076435566
"263",159.925613219307
"264",152.412284441264
"265",151.184552095607
"266",157.969585503641
"267",178.118873777988
"268",172.185985858237
"269",168.033125198142
"270",163.754140050466
"271",165.091016926929
"272",149.992709408396
"273",114.071759880454
"274",124.182390840849
"275",121.496032695276
"276",123.339713161331
"277",115.97409202418
"278",111.782754819816
"279",114.694675492803
"280",107.474963575629
"281",89.506627814004
"282",89.506627814004
"283",89.506627814004
"284",97.056051603637
"285",100.887404950229
"286",102.690665457276
"287",101.649340416408
"288",107.495979599246
"289",108.378108141566
"290",104.048968050701
"291",108.779090604603
"292",114.642279020942
"293",128.86689104048
"294",128.86689104048
"295",122.306006206014
"296",122.306006206014
"297",123.449618179508
"298",140.807196209775
"299",136.172688616266
"300",143.294578068607
"301",141.504990480904
"302",145.594122152131
"303",155.32101975635
"304",188.17841565637
"305",167.041900909276
"306",154.652801487674
"307",145.99912456326
"308",146.048600852744
"309",144.342845513133
"310",150.510450771504
"311",146.837033479931
"312",147.730057097108
"313",161.718214971294
"314",162.849820333001
"315",97.3832893058994
"316",116.343051444182
"317",102.684652632288
"318",102.684652632288
"319",124.977154867666
"320",146.730288603473
"321",146.730288603473
"322",136.098075543467
"323",136.098075543467
"324",130.477987420651
"325",145.329997874521
"326",157.482418822811
"327",153.805318572388
"328",164.850722001452
"329",164.850722001452
"330",165.758386066405
"331",153.211886638693
"332",153.211886638693
"333",162.604702959798
"334",162.252092356436
"335",160.425184046817
"336",164.811693094135
"337",178.134972169193
"338",171.557209030055
"339",177.471235032925
"340",164.163279646045
"341",162.324563347054
"342",162.324563347054
"343",175.666463552251
"344",175.666463552251
"345",164.077173860305
"346",160.072918595262
"347",160.94671593331
"348",161.235757496813
"349",162.332690241485
"350",177.367598915848
"351",178.063690133085
"352",199.280537127097
"353",174.293554460167
"354",247.581083936804
"355",228.503748442667
"356",267.333777028487
"357",254.892862340357
"358",249.326433838062
"359",249.326433838062
"360",253.570200608936
"361",253.570200608936
"362",210.883758113011
"363",239.187481242818
"364",217.525088061125
"365",210.240841573186
"366",210.240841573186
"367",209.62295569656
"368",160.713515978555
"369",129.917075462879
"370",158.977092487815
"371",158.758807205611
"372",168.63208946733
"373",195.576342233387
"374",193.612315312458
"375",200.21142183238
"376",213.893980773692
"377",224.676917254938
"378",241.689427346545
"379",215.745097524842
"380",202.672388843558
"381",232.204407488495
"382",228.244911864668
"383",239.492629299349
"384",239.492629299349
"385",220.445366609385
"386",209.351689890508
"387",182.224003988062
"388",182.224003988062
"389",184.005234733257
