"","average_distances"
"294",284.150058873804
"295",301.239858504388
"296",293.289938368073
"297",293.289938368073
"298",344.325885929371
"299",353.643590291014
"300",384.026696603344
"301",335.738721128767
"302",292.194616304503
"303",359.405832121954
"304",359.065342998863
"305",320.428300138012
"306",327.834197163936
"307",327.834197163936
"308",327.834197163936
"309",347.583702027351
"310",352.837514591563
"311",349.134656576381
"312",349.134656576381
"313",349.134656576381
"314",330.324501637234
"315",330.324501637234
"316",317.721808151207
"317",323.473087661102
"318",321.21175191636
"319",301.860932492434
"320",289.907807237477
"321",289.095347935926
"322",289.095347935926
"323",325.618409142095
"324",277.652278543757
"325",277.652278543757
"326",274.296096578743
"327",259.801670433734
"328",263.946935599617
"329",255.424757155802
"330",240.341721931913
"331",232.627380246314
"332",264.125391831041
"333",278.590038210351
"334",282.74336010683
"335",319.501525225366
"336",300.255081827555
"337",284.347597804515
"338",281.1853640571
"339",290.785746819959
"340",246.811563280643
"341",245.232504423768
"342",238.125423390694
"343",243.79860010334
"344",236.747844849543
"345",234.991280468771
"346",219.394887826585
"347",198.986955894031
"348",216.434652010646
"349",191.607404471376
"350",207.568925339535
"351",207.568925339535
"352",219.571391505256
"353",234.72231947969
"354",238.949014733881
"355",246.535329511912
"356",247.969211345041
"357",263.732633971284
"358",243.39784622744
"359",274.080967332027
"360",301.386786040261
"361",307.547670727932
"362",217.580049431747
"363",234.371879087525
"364",288.572470591656
"365",300.692404946789
"366",313.297336343663
"367",327.676778103865
"368",297.029292538876
"369",313.461127562279
"370",335.652254452615
"371",329.807642849573
"372",326.982889977974
"373",313.449598434111
"374",300.476119436307
"375",299.431398392816
"376",260.499541895293
"377",300.741819528203
"378",282.099978732082
"379",260.062125424056
"380",268.589416005037
"381",259.314672251535
"382",224.565179836963
"383",202.743552194767
"384",191.451463789231
"385",181.757685340065
"386",116.151759162343
"387",116.151759162343
"388",199.075410230328
"389",206.257267835164
"390",277.042030655786
"391",277.042030655786
"392",338.059237954383
"393",289.595174709762
"394",250.551563511849
"395",294.27520102833
"396",291.712164474283
"397",255.893826814262
"398",301.714608366294
"399",301.714608366294
"400",331.693330155095
"401",368.607654572331
"402",354.33606063081
"403",337.997728320494
"404",311.272274760759
"405",327.552518519086
"406",341.024842113618
"407",370.239187304549
"408",399.79938027798
"409",350.984165406244
"410",308.692464321097
"411",313.134697802242
"412",383.326073156933
"413",341.555568221405
"414",370.314591494129
"415",367.982114725239
"416",356.014697416626
"417",313.493959049226
"418",275.543790138779
"419",275.543790138779
"420",277.530787106171
"421",336.240667479925
"422",338.272804878794
"423",318.480806325297
"424",297.787683033351
"425",234.108618854531
"426",282.157364734283
"427",248.6891462319
"428",197.707863899865
"429",192.019833841231
"430",243.214612451398
"431",240.384489080929
"432",223.951362279744
"433",266.897689290355
"434",284.280684883752
"435",219.429593458422
"436",232.791977728166
"437",245.852057871284
"438",247.757741021402
"439",303.397089574981
"440",266.797854142558
"441",247.533501185036
"442",237.026194938084
"443",224.436583373845
"444",227.150217175376
"445",155.154151156798
"446",107.965220967462
"447",152.436948013179
"448",271.807874672688
"449",197.801827238678
"450",197.801827238678
"451",237.556848059915
"452",234.771055891179
"453",234.771055891179
"454",234.771055891179
"455",202.867772842081
"456",234.288137750982
"457",234.288137750982
"458",225.64283280519
"459",244.258625429469
"460",256.620785493848
"461",235.028934406497
"462",200.518876527137
"463",199.981712363228
"464",189.947300369655
"465",175.424279626404
"466",188.954326779648
"467",191.245791382714
"468",157.943336914061
"469",117.327819447889
"470",121.916850905162
"471",154.538751978882
"472",170.367163757247
"473",181.027035533812
"474",187.629859205265
