"","average_distances"
"189",240.715765741626
"190",264.527796694584
"191",333.667010920309
"192",329.64672231949
"193",316.960734027156
"194",342.77797893924
"195",332.115660198746
"196",298.249393937613
"197",218.958539762008
"198",277.8873885153
"199",276.950410750483
"200",301.320422009217
"201",296.080837902009
"202",267.314057215548
"203",277.00273845932
"204",149.449986374799
"205",127.044095269689
"206",212.200765223477
"207",230.689605280771
"208",234.619867098716
"209",204.637267461855
"210",181.280281326537
"211",181.280281326537
"212",195.155010932658
"213",174.893613422988
"214",161.626834343754
"215",246.985326167419
"216",257.001199782096
"217",213.508682372572
"218",230.14680194265
"219",225.715433772952
"220",211.612476672744
"221",226.531128726012
"222",168.244148007762
"223",213.107357491818
"224",240.669357657668
"225",240.669357657668
"226",226.073859266631
"227",206.003316852605
"228",188.360723669907
"229",84.3515515576083
"230",157.338413021628
"231",180.330715049804
"232",180.330715049804
"233",200.342354083873
"234",221.762000638877
"235",211.652555301632
"236",169.390476974306
"237",169.390476974306
"238",152.051719984286
"239",202.743859601707
"240",217.723809651855
"241",202.300963467086
"242",232.634039788788
"243",225.298061755076
"244",276.162882188808
"245",282.956601058937
"246",274.070814256514
"247",289.159636682882
"248",281.859058831732
"249",308.808361279444
"250",274.536675609538
"251",302.585488623832
"252",268.516827385896
"253",326.815612390519
"254",344.532448125254
"255",288.353897879854
"256",266.324612433761
"257",266.324612433761
"258",260.718432266557
"259",227.07174482128
"260",169.67397917185
"261",232.993630126099
"262",164.211346135952
"263",155.31749522898
"264",156.20024476332
"265",159.343157111248
"266",248.821791268723
"267",247.287837187608
"268",168.002151952835
"269",180.74863393733
"270",180.74863393733
"271",189.257648139436
"272",167.702655701154
"273",196.209610314536
"274",196.209610314536
"275",219.622841797426
"276",242.700697022105
"277",301.90726596053
"278",287.072157101762
"279",281.228697823996
"280",281.228697823996
"281",266.551943247167
"282",265.674763650755
"283",265.674763650755
"284",263.729852112691
"285",216.84460307183
"286",207.772048179384
"287",205.72430858384
"288",231.696559883779
"289",260.02199115049
"290",215.86950637004
"291",212.952469385215
"292",208.822660126091
"293",221.902141544786
"294",254.346966145269
"295",292.334669794936
"296",323.123905748626
"297",266.644530456697
"298",261.942888246142
"299",207.112258548334
"300",205.802986630123
"301",173.080429478626
"302",174.618695935866
"303",164.933563023683
"304",158.411370249571
"305",181.871372123488
"306",208.988058090715
"307",244.976129044893
"308",226.884592217034
"309",265.753512371165
"310",245.261505777008
"311",233.099004281134
"312",244.927088385473
"313",243.422698903333
"314",243.422698903333
"315",274.313635032161
"316",251.662438890031
"317",251.662438890031
"318",236.185034639773
"319",228.023979362121
"320",226.318403162659
"321",270.960666215978
"322",303.51956916294
"323",338.978336153147
"324",387.538665254125
"325",389.90410156187
"326",324.418016926282
"327",282.44306558771
"328",292.203015452618
"329",292.203015452618
"330",233.943284773443
"331",258.76440203534
"332",258.76440203534
"333",258.76440203534
"334",231.973297406282
"335",200.799815848977
"336",238.425226870604
"337",205.872380985465
"338",237.187186529242
"339",224.367277806628
"340",261.037455560087
"341",249.782263798165
"342",217.318190789931
"343",191.610192217547
"344",173.707216028023
