"","average_distances"
"108",83.3736963781379
"109",93.8487772072516
"110",84.8947078567606
"111",84.8947078567606
"112",82.3451732496131
"113",82.3451732496131
"114",90.4446534167952
"115",70.7070460138211
"116",63.4953046651773
"117",59.8971374970991
"118",60.4008768462523
"119",87.2827526698378
"120",78.4929466257436
"121",84.0719978445373
"122",92.5180707550267
"123",101.555008504113
"124",112.643614759549
"125",110.937285341949
"126",120.755769956788
"127",130.89162674094
"128",124.648471502763
"129",118.984111026604
"130",103.536824502835
"131",117.294726251812
"132",129.125015912573
"133",145.253309316555
"134",144.804171063237
"135",131.135360764403
"136",133.740804720958
"137",133.740804720958
"138",128.054996114081
"139",123.576341764459
"140",105.442452684383
"141",105.499997426658
"142",89.6740611669751
"143",112.414334403156
"144",119.092358875619
"145",120.899048441851
"146",131.176333668676
"147",144.795336280711
"148",131.771471011574
"149",164.072706363564
"150",129.816012453698
"151",145.245807320381
"152",147.501043698466
"153",140.692166849202
"154",133.809693559324
"155",143.022217464332
"156",156.003305682372
"157",120.154587233347
"158",137.87897073837
"159",136.645112286389
"160",139.083690854575
"161",157.536355897162
"162",155.929459170795
"163",143.77082958253
"164",143.824186533676
"165",153.805468970111
"166",144.885899961419
"167",173.499318925928
"168",181.105533259111
"169",206.326856101895
"170",206.326856101895
"171",177.608690922776
"172",169.938826655342
"173",169.938826655342
"174",161.743614017931
"175",168.977810316974
"176",170.948949990438
"177",171.750457466552
"178",194.895893602117
"179",195.005362809354
"180",200.235676024658
"181",213.017551298542
"182",189.232952714882
"183",194.865436648476
"184",204.994280376689
"185",168.685551475779
"186",176.610656627663
"187",187.467897525688
"188",183.538413147591
"189",184.011833619983
"190",156.2344957854
"191",183.489239228099
"192",172.617912622237
"193",166.982803297919
"194",178.414495039015
"195",192.901887455619
"196",194.207299089689
"197",177.354046374478
"198",185.722647051101
"199",187.94704334601
"200",186.405406706247
"201",166.438360500069
"202",148.731094187869
"203",144.684577515263
"204",129.688551121821
"205",133.953791996436
"206",145.946796665678
"207",148.372215275165
"208",150.802130016248
"209",148.910424716316
"210",149.075017258298
"211",147.190480681911
"212",162.273953808319
"213",162.311016681952
"214",153.958507960205
"215",153.958507960205
"216",157.768047712243
"217",155.317165739735
"218",141.950921239925
"219",140.651656810344
"220",148.363957054271
"221",155.981917586824
"222",151.730451583707
"223",144.645791595067
"224",129.773199987043
"225",116.53130459412
"226",104.225330153179
"227",119.984791494296
"228",110.735464348647
"229",115.2633901603
"230",104.454147902112
"231",88.8257664511034
"232",88.8257664511034
"233",95.7220643474528
"234",99.0576733577369
"235",79.0043276447438
"236",79.0043276447438
"237",76.0904432664825
"238",77.7064960242364
"239",73.3826893284621
"240",69.403415851219
"241",85.9468018647623
"242",80.965480190582
"243",120.77799797046
"244",120.77799797046
"245",127.259361471008
"246",140.502728919121
"247",140.579353849062
"248",147.403123139541
"249",147.403123139541
"250",153.38858002152
"251",138.364503956214
"252",148.379959716927
"253",140.804335975438
"254",142.094850886762
"255",178.907397073804
"256",200.93445258308
"257",194.907859566364
"258",202.156339018449
"259",200.112414648471
"260",216.378123243749
"261",228.020886342805
"262",252.544415209426
"263",252.544415209426
"264",260.880013639043
"265",264.871667240455
"266",246.759299171166
"267",259.996959806886
"268",262.201916326584
"269",238.540759404617
"270",294.213975392975
"271",259.160225368613
"272",312.698985770773
"273",292.776268174812
"274",291.364577527954
"275",304.142035161982
"276",324.179223672207
"277",344.986793516478
"278",344.986793516478
"279",348.01701548338
"280",346.853589638057
"281",346.853589638057
"282",348.627201618392
"283",313.552332743286
"284",232.834498099324
"285",228.116073902341
"286",194.46989951819
"287",194.46989951819
"288",255.550608663146
"289",248.875286552307
"290",251.338200149042
"291",256.743146437379
"292",288.26668086746
"293",268.55338945332
"294",259.621977385603
"295",282.625955836485
"296",260.984221003315
"297",287.005915642208
"298",255.310075954626
"299",254.832252738242
"300",285.698415548473
"301",277.811166134446
"302",276.855032610885
"303",282.697608837106
"304",275.648033398542
"305",283.290491963915
"306",286.747359608137
"307",286.464507955273
"308",298.403421979695
"309",236.084089010918
"310",243.602677658638
"311",242.959464465634
"312",235.320450454113
"313",243.27545708943
"314",238.743550283677
"315",229.740729007153
"316",214.940128331603
"317",217.699186221192
"318",217.10831491345
"319",249.28842833392
"320",232.257033450279
"321",232.257033450279
"322",228.417923410935
"323",220.166799950853
"324",224.12755709482
"325",226.342584484245
"326",242.221726117518
"327",238.881668930282
"328",227.037857753111
"329",226.315336546827
"330",211.437877566868
"331",223.551691664357
"332",216.491945163827
"333",212.709854381384
"334",231.687086594735
"335",231.70973078399
"336",258.367750264051
"337",259.117404946334
"338",251.216140191814
"339",245.267835223012
"340",286.275224359065
"341",334.960353501336
"342",308.972190719273
"343",297.678161751867
"344",297.678161751867
"345",306.753677626244
"346",278.710777038321
"347",279.203489069548
"348",271.085247354101
"349",219.157142307196
"350",251.006738181425
"351",251.006738181425
"352",275.150516000588
"353",291.172997791985
"354",254.890645112336
"355",269.18321569482
"356",248.463621929547
"357",252.521092563193
"358",285.001065441409
"359",285.071304662913
"360",260.019171128588
"361",236.511434676341
"362",206.067079525485
"363",202.542784927053
"364",214.048880797774
"365",222.500705713243
"366",238.367257624103
"367",262.400795650064
"368",247.364500136145
"369",263.152067239052
"370",279.534876635337
"371",297.498069837707
"372",257.832370112295
"373",263.102698845932
"374",281.23365053086
"375",281.23365053086
"376",309.903978213392
"377",291.107357656929
"378",320.299844969401
"379",306.679761149765
"380",327.262422988117
"381",311.365198716219
"382",285.303860983659
"383",288.904490465937
"384",282.273056959572
"385",280.688744170644
"386",269.66923264091
"387",273.191009630797
"388",262.667282526902
"389",268.748682644531
"390",278.299184853307
"391",264.98478466841
"392",290.262719843331
"393",299.829614542963
"394",280.500370321273
"395",276.418678289225
"396",269.300890914236
"397",256.892170394178
"398",256.892170394178
"399",226.632169782171
"400",220.962794874084
"401",257.046483448662
"402",254.802960436351
"403",254.802960436351
"404",244.616967607893
