"","x"
"1",31727007.2941175
"2",45217932.6914542
"3",48617260.2430562
"4",47592587.962264
"5",21029645.9689739
"6",25497411.5107912
"7",45909605.1515909
"8",60237386.5337662
"9",51863691.6134679
"10",33674606.0082453
"11",45417673.4955062
"12",53007095.2611077
"13",52538992.6258032
"14",53858291.8652351
"15",49844852.7934239
"16",39932457.3610565
"17",66920881.3704187
"18",36799072.3628497
"19",72671343.8447947
"20",67363988.3859214
"21",93518506.7506219
"22",125382449.50591
"23",132507516.497025
"24",97163467.9846814
"25",72784260.29676
"26",77190823.5885643
"27",36983691.9443185
"28",81812397.0598843
"29",92708313.925344
"30",122046758.755963
"31",69645520.5776527
"32",70301538.9840609
"33",69148466.6178679
"34",44268304.03307
"35",27483771.3756028
"36",53956832.270715
"37",40132292.0149965
"38",57888614.4282857
"39",37194449.0062542
"40",38273885.3602229
"41",22716817.9768078
"42",37764476.214865
"43",61196584.6367957
"44",46223161.0681355
"45",71245496.1236847
"46",94924239.2012377
"47",73616362.8892289
"48",47880717.6352564
"49",74359109.4079385
"50",114592847.278266
"51",99531839.6769893
"52",40393148.1790853
"53",61363986.1175108
"54",29743253.2006373
"55",23585147.9595959
"56",25183753.8847241
"57",35580193.9782467
"58",33302108.1693199
"59",53063079.1790943
"60",46352371.6829271
"61",71524048.6037088
"62",55178195.210911
"63",64080519.5890762
"64",84396912.6722023
"65",86066854.0343779
"66",110818214.164645
"67",107331990.655076
"68",46803083.8310268
"69",66529205.7199733
"70",62055465.0594828
"71",57816339.0391455
"72",61834852.5444438
"73",50594875.3431084
"74",60241984.3978248
"75",47477470.5146666
"76",57319200.5046728
"77",41939441.9105085
"78",22020595.9831716
"79",24593851.1252509
"80",27737241.0787623
"81",34063271.3898537
"82",38866262.5272599
"83",41469915.1081623
"84",29576397.88
"85",42874380.2635229
"86",68485407.8463475
"87",45563357.2219342
"88",44699527.8158734
"89",26921863.5139396
"90",44033783.2479998
"91",13949377.7827546
