"","x"
"1",15257532.8202772
"2",18236301.7697532
"3",20143717.7165259
"4",10604945.35034
"5",19985662.3514314
"6",17777416.0508482
"7",23281221.522369
"8",23836554.9464114
"9",17589107.0420138
"10",22715685.3675331
"11",17653295.2919617
"12",21041244.7458078
"13",13260410.2762868
"14",17826841.2757615
"15",27390787.501503
"16",18343455.4403287
"17",16274852.0316195
"18",22595682.5992943
"19",10091805.7637026
"20",18723860.6687813
"21",34121847.3757631
"22",18655426.8002071
"23",23004658.8588088
"24",34966109.8301809
"25",20535072.2626852
"26",31280355.212301
"27",30063011.123162
"28",8727896.04228036
"29",15536130.2385567
"30",13221433.7150359
"31",10100834.4369515
"32",15588331.4905495
"33",10587294.8292392
"34",2970095.18324906
"35",18021257.671028
"36",11547650.8176125
"37",18206518.2118553
"38",19458647.0153871
"39",23906278.2735843
"40",16786297.1936447
"41",12937086.3431461
"42",10994996.0606542
"43",3409581.03511814
"44",9311310.70435721
"45",17244607.8163706
"46",23729528.2277889
"47",11327128.833835
"48",13538548.2873135
"49",12318813.3814127
"50",12109893.0403647
"51",9550971.02303192
"52",3414581.85806044
"53",3336009.6562961
"54",12441130.0343382
"55",9818361.04406229
"56",18827988.115632
"57",13399872.3265831
"58",18527677.5763496
"59",18851722.6061421
"60",8709382.60933769
"61",16813155.1240528
"62",12920916.9693494
"63",15689164.3195884
"64",9291612.2739284
"65",16303803.2643438
"66",6118995.97854785
"67",4122631.06690256
"68",13431222.8780886
"69",16554089.4568093
"70",9906845.28481778
"71",4522373.66233919
"72",4237919.23241812
"73",3975572.71667071
"74",8348781.80502658
"75",3852581.80946992
"76",7155045.4467153
"77",13164107.7060103
"78",6286227.57192027
"79",4027502.46311582
"80",7951202.18358175
"81",9750942.59821894
"82",10036496.4136616
"83",5754354.97454612
"84",4768945.46907228
"85",4351523.81779826
"86",9151959.86379615
"87",34193783.7399821
"88",20928380.9782937
"89",33181441.6837293
"90",23091390.1295434
"91",16529388.5697636
"92",16937346.0447745
"93",3837727.46462008
"94",16612616.3862919
"95",13250088.9804292
"96",18234484.2776088
"97",12502051.2724813
"98",16610279.3602294
"99",20504722.7142216
"100",15358563.3537223
"101",37023296.9627634
"102",26106145.2019844
"103",14179366.4734264
"104",34819056.2419363
"105",38717691.2419015
"106",14686044.5623977
"107",18988655.9235552
"108",10294777.5600715
"109",16087399.0131826
"110",26732525.2016439
"111",19235128.3500296
