"","x"
"1",32705673.0357797
"2",191771213.828
"3",100404903.811631
"4",44505366.2104826
"5",56587186.3847965
"6",51807284.0407565
"7",29096448.5491574
"8",45455246.9427561
"9",24941105.735036
"10",25950857.4306463
"11",41219983.867704
"12",66264863.3039682
"13",131547206.934566
"14",77462916.4955093
"15",76022042.2673497
"16",79246237.4013849
"17",68856694.0030998
"18",51768798.8801806
"19",36938785.4736435
"20",42986328.9539929
"21",71603661.5260488
"22",72204647.4905662
"23",63242070.1752827
"24",54914302.5071268
"25",39394539.9309286
"26",53259288.4667198
"27",86916145.1699926
"28",40394916.0809837
"29",65024472.7660357
"30",55078516.03365
"31",34363310.8003038
"32",57406038.8921929
"33",58006836.8591653
"34",43541948.2792941
"35",52947414.5973424
"36",37155681.0381422
"37",180234777.228122
"38",109792216.969346
"39",100523491.863475
"40",97906162.3991257
"41",81406187.064723
"42",96359812.4129667
"43",118940536.163649
"44",63977891.1382589
"45",79674996.1540959
"46",43035147.81473
"47",63329621.7528441
"48",76426629.0666671
"49",117586172.956147
"50",164473404.145764
"51",104534032.382144
"52",92441940.1939447
"53",74611535.0674443
"54",77569228.1229131
"55",69657368.4760451
"56",119623416.518403
"57",97088527.2816999
"58",48803902.7980834
"59",80533364.2843073
"60",134362761.722432
"61",118926997.621127
"62",166839568.451559
"63",117412371.118804
"64",90070032.6688793
"65",63027076.9654192
"66",69917333.5473837
"67",67015605.2912276
"68",48903813.7406669
"69",60620218.4329749
"70",81478941.9031506
"71",162784950.6033
"72",229513596.096844
"73",178955413.38092
"74",159969983.437145
"75",174687082.053522
"76",205377985.151363
"77",302179077.748852
"78",247345595.102948
"79",176678439.150588
"80",197197078.437107
