"","x"
"1",45099920.2672523
"2",286517769.624732
"3",168590080.57448
"4",112412739.938972
"5",126289941.506521
"6",87062981.2997502
"7",79000703.294615
"8",70020676.193709
"9",40742519.29515
"10",59888220.0250982
"11",89292982.2035618
"12",138844749.06463
"13",162616587.450484
"14",143537858.000495
"15",117522723.762596
"16",85722030.3536214
"17",126649139.593973
"18",52933519.1101215
"19",34906581.6648589
"20",74264616.3102344
"21",95447123.8379236
"22",106054554.838895
"23",64239533.9765139
"24",65029352.5131221
"25",72944131.663679
"26",79616269.647295
"27",76951361.38004
"28",45395046.8605464
"29",69421682.6077378
"30",77525514.4676027
"31",37160445.8207695
"32",66674783.6925537
"33",59023808.2449974
"34",72394277.7378101
"35",78199304.9808672
"36",57302445.0825347
"37",234115982.594756
"38",123051315.29943
"39",158128936.662662
"40",176036863.921674
"41",162204027.693235
"42",134387452.443177
"43",144313139.988536
"44",86698415.1834724
"45",70013494.9597911
"46",75676463.7591054
"47",94949458.2956957
"48",79856365.0867222
"49",138381440.918048
"50",195583451.046069
"51",168235196.876438
"52",150982732.664875
"53",120390848.760808
"54",89740020.5626972
"55",97875327.6130928
"56",133584821.099038
"57",101650337.945833
"58",77552197.1953405
"59",91456092.2373203
"60",218882180.34159
"61",142337392.362511
"62",149085706.503145
"63",210257528.86827
"64",142395677.421504
"65",70910340.292747
"66",71932677.1256769
"67",67138431.2842001
"68",54466144.906311
"69",32180121.3958753
"70",149749290.704963
"71",257817511.052769
"72",135376739.071092
"73",140441254.554503
"74",214073332.410992
"75",277865571.616869
"76",226669935.190258
"77",302486171.11382
"78",272883755.829494
"79",170366053.623011
"80",222382127.957277
