"","x"
"1",52782772.0483545
"2",43764170.2745101
"3",111329632.056659
"4",98511500.4751252
"5",97453322.011815
"6",50930149.774972
"7",85338027.449167
"8",80332883.7356907
"9",77419514.0770918
"10",34621251.3129698
"11",35376235.2804393
"12",90047538.8085136
"13",32841054.4165249
"14",63176138.4044677
"15",168819102.550854
"16",50849114.1432297
"17",42873998.1931219
"18",52689775.7522895
"19",40469829.6041895
"20",55084601.3798363
"21",148922084.867854
"22",126191178.436689
"23",175997675.782452
"24",139360132.364185
"25",69878294.6879315
"26",72982463.4768385
"27",87504243.6508639
"28",52303316.186244
"29",68015250.6985503
"30",36706539.9156033
"31",78624211.7910434
"32",81199368.293305
"33",48332936.8576723
"34",71564875.6154243
"35",63407998.1367795
"36",77902496.3067315
"37",78309912.3572164
"38",77266666.3830008
"39",147725141.463238
"40",158276101.874066
"41",105275279.937501
"42",71080659.9632795
"43",23907053.9252904
"44",117215082.261253
"45",56694481.0319957
"46",66177029.7014525
"47",54682312.7969307
"48",81918250.0708045
"49",56703677.8035282
"50",102938329.168426
"51",94315954.3614466
"52",53038043.3019144
"53",100532784.660214
"54",67215366.0987414
"55",84021518.4016687
"56",89529326.703241
"57",117509444.267939
"58",80760428.3236061
"59",132537189.716003
"60",98440642.0309271
"61",100857228.445115
"62",46725624.4899955
"63",49621705.2916247
"64",49249948.4620904
"65",73841695.5500486
"66",28749852.7672962
"67",86660947.3368984
"68",112922111.574673
"69",84662665.6647111
"70",14983163.2618937
"71",71378726.9120943
"72",13987863.506883
"73",18347539.6117706
"74",42200071.350386
"75",78951805.9990113
"76",23889033.6668376
"77",57921940.4833935
"78",15017927.0996994
"79",22409264.876341
"80",24071141.4315244
"81",25773102.6912196
"82",22184976.9559044
"83",73520018.4722516
"84",10183671.1923078
"85",21612895.9085302
"86",64861648.6857427
"87",64196290.6598675
"88",23205073.1857997
"89",108297187.569261
"90",70647096.9357142
"91",57269161.5601019
"92",77624708.1528598
"93",10469985.2696514
"94",33533706.5504486
"95",42282744.2449429
"96",37949109.2018874
"97",46135758.6316049
"98",27837169.0139634
"99",103694241.169377
"100",63742585.3756322
"101",46784918.9786368
"102",51616669.8494735
"103",51944702.0737951
"104",55837535.2813243
"105",81294468.1682151
"106",119115671.901236
"107",118848579.518718
"108",26876447.3511962
"109",89816424.8544502
"110",149455072.63416
"111",49376088.6824223
