"","x"
"1",68903123.3998915
"2",110531391.123717
"3",51988849.0198393
"4",42150345.4212986
"5",103915948.784473
"6",190375217.22343
"7",127685757.34889
"8",87363975.2110045
"9",39339536.5099266
"10",54160917.7479346
"11",58879823.4396194
"12",46435398.3486142
"13",12525073.3385751
"14",60692642.8164991
"15",19835864.740349
"16",80160286.3456298
"17",67287402.8766822
"18",49683807.6127115
"19",105480257.443623
"20",150249244.833335
"21",87384183.7327837
"22",75896946.8629839
"23",46266052.8851983
"24",38373856.3817121
"25",62378735.782541
"26",50308357.5199803
"27",37286289.0285993
"28",64437876.8629934
"29",79080114.5007594
"30",118543274.719248
"31",169787677.431559
"32",192912788.482082
"33",223656155.765256
"34",179876822.617994
"35",167671255.283702
"36",178038428.194207
"37",197545913.451559
"38",238888063.020112
"39",220504170.808561
"40",219573720.122948
"41",184715312.330969
"42",227715432.815452
"43",216083449.231704
"44",85757505.8411273
"45",36073863.965315
"46",33554168.7432131
"47",221727999.728006
"48",424095760.877702
"49",354523364.600363
"50",387434872.091668
"51",62940444.4072671
"52",51379116.3128061
"53",126121792.541048
"54",79260207.8029321
"55",37896742.2337605
"56",51531523.4757387
"57",180546970.943269
"58",149881125.245216
"59",87618373.2698618
"60",95593294.3958
"61",150774294.404562
"62",49001265.487897
"63",34878319.679144
"64",62060384.1461655
"65",179920828.854647
"66",48412010.0808494
"67",53705043.3830275
"68",100251800.906333
"69",154985942.195983
"70",130341134.514937
"71",99113656.3875258
"72",86934885.9149161
"73",73073438.3767387
"74",89214916.802226
"75",77393436.6861594
"76",117015558.540369
"77",111789695.382805
"78",111914298.20339
"79",134856588.179732
"80",113875503.861112
"81",103703337.320246
"82",131194535.729244
"83",54493723.8048366
"84",46187633.3545459
"85",30189430.1970119
"86",45619868.405765
"87",37286398.8271677
"88",10470478.3798411
"89",15218919.9893102
"90",7497712.68151329
"91",12476973.6813628
"92",36192801.9808369
"93",38677019.2240122
"94",54571273.8428717
"95",44220152.0226827
"96",27865867.061246
"97",117688732.123044
"98",49430814.7377049
"99",30222706.0199369
"100",72461815.5394077
"101",78769035.9419252
"102",15339788.153337
"103",20324536.9302787
"104",13611455.2885574
"105",18832747.4661772
"106",36561109.5561385
"107",20363558.5242906
"108",16892444.319192
"109",24504055.4379292
"110",61223156.4498878
"111",185802201.036749
"112",187783204.817564
"113",85467521.4334141
"114",202591438.42371
"115",103193377.044125
"116",67549296.9684454
"117",93664246.3158435
"118",126955116.097256
"119",130952608.351785
"120",107594604.105347
"121",98523620.4416373
"122",105389723.705607
"123",109359358.68332
"124",105696848.556962
"125",90100366.9958642
"126",83646095.4604213
"127",81652390.2785856
"128",54465049.4492681
"129",46985400.1651374
"130",54987949.398535
"131",55866379.4367015
"132",35703524.7245684
"133",12158300.507805
"134",103179708.950394
"135",109247241.189825
"136",144649028.816737
"137",159385387.398319
"138",125978251.437735
"139",129212137.312892
"140",155824092.336145
"141",121197457.236455
"142",96242313.6592351
"143",62646954.0021032
"144",59557487.6980174
"145",61624135.0829694
"146",30720807.4596005
"147",67426138.1201593
"148",61423371.5327985
"149",116805740.619619
"150",120299327.097296
"151",106424544.506979
"152",109279385.038443
"153",70073416.522495
"154",106683396.960283
"155",119077563.603931
"156",94773833.7678313
"157",143725264.85221
"158",140473259.495734
"159",150456523.192849
"160",81646664.3748456
