"","x"
"1",19214562.5985367
"2",21931613.9880683
"3",15131610.3266131
"4",13295378.5580992
"5",18302213.3442316
"6",24935600.5260174
"7",12611163.2069514
"8",21317487.0977261
"9",7558190.45116564
"10",9211127.74543342
"11",22357728.958306
"12",23732088.4797243
"13",16268824.7755255
"14",13797977.0762617
"15",17287885.682931
"16",23467062.7054721
"17",21014180.75402
"18",15607216.9789542
"19",11406192.1889274
"20",18072289.3689
"21",26054690.3480319
"22",26420197.8759403
"23",23679129.5305864
"24",17213984.2087364
"25",14018011.3237585
"26",13449290.2177118
"27",30372634.4595982
"28",18269714.0097433
"29",27787232.869238
"30",21574711.1941249
"31",13182983.2477901
"32",14601698.4646114
"33",13162433.7688833
"34",17519160.4492939
"35",26857052.487958
"36",16074602.791527
"37",23562130.6076785
"38",17850987.2829202
"39",22634102.2632565
"40",32395249.3087906
"41",35475866.1093493
"42",28205446.7640011
"43",35525560.0469179
"44",34856765.1136857
"45",36032327.8652969
"46",21239391.6596522
"47",28827561.0378925
"48",36240139.0539258
"49",37365779.4637118
"50",49511264.9404113
"51",22505953.0682441
"52",14466930.830505
"53",24728019.880561
"54",31181264.4650742
"55",27675584.5102489
"56",29280802.2307878
"57",27609071.0361803
"58",11633972.5044622
"59",35251477.8984884
"60",32855953.909872
"61",14736423.7611988
"62",16883045.4023978
"63",31055520.1846894
"64",31042494.3498874
"65",19250482.53633
"66",24386048.8717291
"67",31785628.0974452
"68",26556699.8292331
"69",24281537.4359875
"70",22664221.5122758
"71",53757550.4898828
"72",16865661.9723787
"73",13846649.560578
"74",20434777.6745389
"75",32297532.861011
"76",36631537.7551398
"77",33774619.3070627
"78",38412359.1834749
"79",36612826.8820127
"80",37565311.2212016
