"","x"
"1",27287579.9614553
"2",18525409.3076683
"3",35845451.0840769
"4",27162162.9811118
"5",13110937.3636532
"6",24698727.9129817
"7",40789387.224116
"8",21380018.7993456
"9",36129672.9896247
"10",22578451.1194368
"11",21253647.9398773
"12",38255108.3396764
"13",38941364.3563777
"14",18072253.4006132
"15",30877799.8664259
"16",28374841.0464734
"17",36800460.5917307
"18",32763907.3999481
"19",36408120.6935077
"20",35592712.6358339
"21",47523365.6318675
"22",45147563.2389454
"23",44935112.6184459
"24",53214870.2738616
"25",46097695.8862306
"26",25975422.0377194
"27",12045708.2984292
"28",24930048.146775
"29",40119551.3947347
"30",25190880.4052866
"31",34015966.216022
"32",39578903.2076517
"33",37154592.3014694
"34",13198434.2040541
"35",4896009.95599814
"36",10908118.7546832
"37",16663790.7665234
"38",8283747.60832899
"39",13764691.0048626
"40",14669358.9859471
"41",29383226.1073361
"42",25087746.6502327
"43",33335626.8587205
"44",46541985.8793087
"45",52409120.8176369
"46",65232984.2756451
"47",29312114.8519529
"48",20849105.7801996
"49",51822253.2424546
"50",73575422.5366624
"51",63824227.4451558
"52",41904433.7073083
"53",29882690.4317811
"54",28379151.5630175
"55",34778956.3063534
"56",11335285.2362512
"57",27492786.1949866
"58",29331298.5625736
"59",43020812.1714831
"60",27163301.1955293
"61",46786988.2998669
"62",42751863.507922
"63",44266430.1230638
"64",36856179.0039492
"65",49969049.4851891
"66",60656648.7552945
"67",64380118.6120149
"68",30465956.4238948
"69",21825473.0704599
"70",31722378.969554
"71",31372540.9367026
"72",21438756.8084828
"73",33876716.5824576
"74",37626310.5333616
"75",25466078.4662276
"76",28210776.6423969
"77",9930085.47769062
"78",11158382.8887394
"79",12889181.3165702
"80",19577894.3270847
"81",23323309.4043706
"82",18298387.8126379
"83",20574416.5834828
"84",22625727.5393934
"85",34915206.7250046
"86",43694810.2246202
"87",22985816.119586
"88",34148990.6554928
"89",22355176.9060637
"90",29803471.460723
"91",16244049.5596388
