"","x"
"1",29190188.8238347
"2",35999716.9942381
"3",36270358.5306473
"4",35797623.4127556
"5",37807484.7011433
"6",36436079.1216915
"7",34802342.8831233
"8",29428876.6781182
"9",15836167.1799881
"10",27148777.5400534
"11",37338109.3162389
"12",44574602.7233401
"13",15042792.4506361
"14",22793942.2703031
"15",18882370.98591
"16",16480653.6472855
"17",24049370.4205712
"18",19273437.2667853
"19",15138622.3734022
"20",32733982.8645087
"21",39434351.6788034
"22",45793439.7328059
"23",22675213.3321108
"24",20662504.0056877
"25",25804559.4603944
"26",19775566.2352989
"27",34371031.3884422
"28",25948388.0399477
"29",21208545.2283039
"30",42359920.6076083
"31",17417344.7583974
"32",14302756.7409275
"33",15441891.2226218
"34",26754489.7835856
"35",36037871.726737
"36",25405290.3026971
"37",26809953.7959333
"38",25941792.2249551
"39",47834906.2700364
"40",78060279.1398128
"41",69614505.3099091
"42",49242944.0088249
"43",55174087.3232256
"44",41858465.1223213
"45",35408504.5388578
"46",31389535.9913794
"47",32365502.2147336
"48",37893401.5130215
"49",59242482.1718236
"50",42501334.4806733
"51",39017366.1104817
"52",35293678.7892883
"53",51592745.8870682
"54",44382236.8205202
"55",37120969.5278648
"56",52371612.3605851
"57",36979328.0621768
"58",17469309.5150295
"59",25647386.4364836
"60",31231824.3113327
"61",16411585.5822987
"62",12959490.198335
"63",41601088.406491
"64",39158506.9010354
"65",29727724.7459123
"66",21009237.6835712
"67",25250703.550875
"68",21609756.98798
"69",15200824.4489606
"70",56112265.2111456
"71",65529647.3595061
"72",16624122.3549236
"73",24247350.3962867
"74",24295175.0276882
"75",46278592.7975391
"76",46090484.5142276
"77",38787908.3986105
"78",50828364.990724
"79",45837130.2769023
"80",56824379.2429946
