"","x"
"1",47413109.9676842
"2",31939189.9082995
"3",50371053.4342648
"4",47180340.1798217
"5",55296024.0817448
"6",55627392.3692478
"7",65033977.3074933
"8",66375451.0493172
"9",78996400.1573574
"10",68229455.2634295
"11",71725198.0185904
"12",54164666.9811324
"13",77182060.3492237
"14",39228543.2928458
"15",77508322.0722389
"16",63035474.9694092
"17",63273997.9563735
"18",90438349.059288
"19",88277939.6475444
"20",47158145.0818191
"21",52693872.3220519
"22",72873882.6380956
"23",102569316.073259
"24",91141385.7557492
"25",100211943.07424
"26",86503025.5890128
"27",81423457.68573
